"Date","Temperature","Relative Humidity"
2021-11-26 00:00:08,15.4,59.5
2021-11-26 00:00:18,15.4,59.4
2021-11-26 00:00:28,15.4,59.4
2021-11-26 00:00:38,15.4,59.5
2021-11-26 00:00:48,15.4,59.5
2021-11-26 00:00:58,15.4,59.5
2021-11-26 00:01:08,15.4,59.4
2021-11-26 00:01:18,15.4,59.4
2021-11-26 00:01:28,15.4,59.5
2021-11-26 00:01:38,15.4,59.5
2021-11-26 00:01:48,15.4,59.5
2021-11-26 00:01:58,15.4,59.5
2021-11-26 00:02:08,15.4,59.5
2021-11-26 00:02:18,15.4,59.5
2021-11-26 00:02:28,15.4,59.5
2021-11-26 00:02:38,15.4,59.5
2021-11-26 00:02:48,15.4,59.5
2021-11-26 00:02:58,15.4,59.5
2021-11-26 00:03:08,15.4,59.5
2021-11-26 00:03:18,15.4,59.5
2021-11-26 00:03:28,15.4,59.6
2021-11-26 00:03:38,15.4,59.6
2021-11-26 00:03:48,15.4,59.6
2021-11-26 00:03:58,15.4,59.6
2021-11-26 00:04:08,15.3,59.6
2021-11-26 00:04:18,15.4,59.5
2021-11-26 00:04:28,15.4,59.5
2021-11-26 00:04:38,15.4,59.5
2021-11-26 00:04:48,15.4,59.6
2021-11-26 00:04:58,15.4,59.5
2021-11-26 00:05:08,15.4,59.5
2021-11-26 00:05:18,15.4,59.6
2021-11-26 00:05:28,15.4,59.6
2021-11-26 00:05:38,15.4,59.6
2021-11-26 00:05:48,15.4,59.6
2021-11-26 00:05:58,15.4,59.6
2021-11-26 00:06:08,15.4,59.6
2021-11-26 00:06:18,15.4,59.6
2021-11-26 00:06:28,15.4,59.6
2021-11-26 00:06:38,15.4,59.6
2021-11-26 00:06:48,15.4,59.6
2021-11-26 00:06:58,15.4,59.6
2021-11-26 00:07:08,15.3,59.6
2021-11-26 00:07:18,15.3,59.6
2021-11-26 00:07:28,15.4,59.6
2021-11-26 00:07:38,15.4,59.6
2021-11-26 00:07:48,15.3,59.6
2021-11-26 00:07:58,15.4,59.6
2021-11-26 00:08:08,15.4,59.6
2021-11-26 00:08:18,15.3,59.6
2021-11-26 00:08:28,15.4,59.6
2021-11-26 00:08:38,15.3,59.6
2021-11-26 00:08:48,15.4,59.6
2021-11-26 00:08:58,15.4,59.6
2021-11-26 00:09:08,15.4,59.6
2021-11-26 00:09:18,15.4,59.6
2021-11-26 00:09:28,15.4,59.5
