"Date","Temperature","Relative Humidity"
2021-11-27 00:00:04,14.1,57.4
2021-11-27 00:00:14,14.2,57.3
2021-11-27 00:00:24,14.2,57.3
2021-11-27 00:00:34,14.2,57.3
2021-11-27 00:00:44,14.1,57.3
2021-11-27 00:00:54,14.2,57.3
2021-11-27 00:01:04,14.1,57.3
2021-11-27 00:01:14,14.2,57.3
2021-11-27 00:01:24,14.2,57.3
2021-11-27 00:01:35,14.1,57.3
2021-11-27 00:01:45,14.1,57.4
2021-11-27 00:01:55,14.2,57.4
2021-11-27 00:02:05,14.1,57.4
2021-11-27 00:02:15,14.1,57.3
2021-11-27 00:02:25,14.2,57.3
2021-11-27 00:02:35,14.2,57.3
2021-11-27 00:02:45,14.2,57.3
2021-11-27 00:02:55,14.2,57.3
2021-11-27 00:03:05,14.2,57.3
2021-11-27 00:03:15,14.2,57.3
2021-11-27 00:03:25,14.1,57.3
2021-11-27 00:03:35,14.1,57.3
2021-11-27 00:03:45,14.2,57.3
2021-11-27 00:03:55,14.1,57.4
2021-11-27 00:04:05,14.1,57.4
2021-11-27 00:04:15,14.1,57.4
2021-11-27 00:04:25,14.1,57.4
2021-11-27 00:04:35,14.1,57.3
2021-11-27 00:04:45,14.2,57.4
2021-11-27 00:04:55,14.1,57.4
2021-11-27 00:05:05,14.1,57.4
2021-11-27 00:05:15,14.1,57.4
2021-11-27 00:05:25,14.1,57.4
2021-11-27 00:05:35,14.1,57.4
2021-11-27 00:05:45,14.1,57.4
2021-11-27 00:05:55,14.1,57.4
2021-11-27 00:06:05,14.1,57.4
2021-11-27 00:06:15,14.1,57.4
2021-11-27 00:06:25,14.2,57.4
2021-11-27 00:06:35,14.1,57.4
2021-11-27 00:06:45,14.1,57.4
2021-11-27 00:06:55,14.1,57.4
2021-11-27 00:07:05,14.1,57.3
2021-11-27 00:07:15,14.1,57.4
2021-11-27 00:07:25,14.1,57.4
2021-11-27 00:07:35,14.1,57.3
2021-11-27 00:07:45,14.1,57.3
2021-11-27 00:07:55,14.1,57.3
2021-11-27 00:08:05,14.1,57.3
2021-11-27 00:08:15,14.1,57.4
2021-11-27 00:08:25,14.1,57.4
2021-11-27 00:08:35,14.1,57.4
2021-11-27 00:08:45,14.1,57.4
2021-11-27 00:08:55,14.1,57.4
2021-11-27 00:09:05,14.1,57.5
2021-11-27 00:09:15,14.1,57.5
2021-11-27 00:09:25,14.1,57.4
2021-11-27 00:09:35,14.1,57.5
2021-11-27 00:09:45,14.1,57.5
2021-11-27 00:09:55,14.1,57.5
2021-11-27 00:10:05,14.1,57.4
2021-11-27 00:10:15,14.1,57.4
2021-11-27 00:10:25,14.1,57.4
2021-11-27 00:10:35,14.1,57.4
2021-11-27 00:10:45,14.1,57.4
2021-11-27 00:10:55,14.1,57.4
2021-11-27 00:11:05,14.1,57.4
2021-11-27 00:11:15,14.1,57.4
2021-11-27 00:11:25,14.1,57.4
2021-11-27 00:11:35,14.1,57.4
2021-11-27 00:11:45,14.1,57.4
2021-11-27 00:11:55,14.1,57.4
2021-11-27 00:12:05,14.1,57.4
2021-11-27 00:12:15,14.1,57.5
2021-11-27 00:12:25,14.1,57.5
2021-11-27 00:12:35,14.1,57.5
2021-11-27 00:12:45,14.1,57.4
2021-11-27 00:12:55,14.1,57.5
2021-11-27 00:13:05,14.1,57.5
2021-11-27 00:13:15,14.1,57.5
2021-11-27 00:13:25,14.1,57.5
2021-11-27 00:13:35,14.1,57.5
2021-11-27 00:13:45,14.1,57.5
2021-11-27 00:13:55,14.1,57.5
2021-11-27 00:14:05,14.1,57.5
2021-11-27 00:14:15,14.1,57.5
2021-11-27 00:14:25,14.1,57.5
2021-11-27 00:14:35,14.1,57.5
2021-11-27 00:14:45,14.1,57.5
2021-11-27 00:14:55,14.1,57.5
2021-11-27 00:15:05,14.1,57.5
2021-11-27 00:15:15,14.1,57.5
2021-11-27 00:15:25,14.1,57.5
2021-11-27 00:15:35,14.1,57.5
2021-11-27 00:15:45,14.1,57.5
2021-11-27 00:15:55,14.1,57.5
2021-11-27 00:16:05,14.1,57.6
2021-11-27 00:16:15,14.1,57.5
2021-11-27 00:16:25,14.1,57.5
2021-11-27 00:16:35,14.1,57.5
2021-11-27 00:16:45,14.1,57.5
2021-11-27 00:16:55,14.1,57.5
2021-11-27 00:17:05,14.1,57.6
2021-11-27 00:17:15,14.1,57.6
2021-11-27 00:17:25,14.1,57.5
2021-11-27 00:17:35,14.1,57.5
2021-11-27 00:17:45,14.1,57.5
2021-11-27 00:17:55,14.1,57.5
2021-11-27 00:18:05,14.1,57.5
2021-11-27 00:18:15,14.1,57.5
2021-11-27 00:18:25,14.1,57.6
2021-11-27 00:18:35,14.1,57.5
2021-11-27 00:18:45,14.1,57.5
2021-11-27 00:18:55,14.1,57.5
2021-11-27 00:19:05,14.1,57.5
2021-11-27 00:19:15,14.1,57.5
2021-11-27 00:19:25,14.1,57.5
2021-11-27 00:19:35,14.1,57.6
2021-11-27 00:19:45,14.1,57.5
2021-11-27 00:19:55,14.1,57.6
2021-11-27 00:20:05,14.1,57.6
