Date,Max Temperature,Average Temperature,Min Temperature
2022-06-01,17.4,12.7,8.3
2022-06-02,18.8,16.9,13.7
2022-06-03,20.0,14.4,10.4
2022-06-04,15.3,12.1,9.9
2022-06-05,12.6,10.7,9.3
2022-06-06,17.3,12.8,10.2
2022-06-07,20.6,14.6,8.6
2022-06-08,20.4,15.7,12.0
2022-06-09,20.4,15.7,12.1
2022-06-10,22.6,17.4,13.2
2022-06-11,20.2,16.2,12.7
2022-06-12,18.5,14.8,11.6
2022-06-13,18.3,14.1,10.2
2022-06-14,21.4,15.4,8.4
2022-06-15,24.8,18.1,9.9
2022-06-16,26.2,19.7,11.8
2022-06-17,29.0,21.7,17.0
2022-06-18,18.0,14.6,11.7
2022-06-19,20.2,14.7,9.2
2022-06-20,22.7,16.2,10.0
2022-06-21,25.5,18.8,11.3
2022-06-22,25.6,19.4,13.1
2022-06-23,28.3,20.2,13.5
2022-06-24,23.8,19.1,14.5
2022-06-25,21.2,16.6,13.1
2022-06-26,22.0,16.4,10.1
2022-06-27,18.8,15.4,12.9
2022-06-28,19.3,16.2,12.4
2022-06-29,22.7,17.3,12.9
